,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
448,leona vicario,6,ID,1579664321,57,-2.68,111.62,306.12,1.15
449,leona vicario,69,JP,1579664677,22,34.35,132.33,284.26,1.79
450,leona vicario,0,MX,1579664677,88,18.73,-103.68,295.39,1.37
451,leona vicario,100,CD,1579664677,96,-6.47,16.82,293.22,0.82
452,leona vicario,84,ID,1579664677,58,-8.47,140.33,305.46,4.6
453,leona vicario,90,US,1579664369,97,58.3,-134.42,274.15,1.13
454,leona vicario,100,RU,1579664678,97,65.97,78.37,253.12,7.24
455,leona vicario,0,SA,1579664359,81,26.33,43.98,280.15,5.7
456,leona vicario,94,GL,1579664234,78,69.22,-51.1,256.98,2.94
457,leona vicario,100,RU,1579664678,92,52.42,136.49,252.6,1.49
458,leona vicario,90,LK,1579664256,100,6.12,81.12,298.15,3.1
459,leona vicario,86,AU,1579664678,72,-41.07,145.92,293.15,4.02
460,leona vicario,0,CL,1579664368,67,-41.87,-73.82,289.15,6.7
461,leona vicario,100,US,1579664678,98,55.34,-131.65,272.62,1.1
462,leona vicario,76,VG,1579664367,85,18.42,-64.62,298.71,5.36
463,leona vicario,86,TD,1579664678,16,13.0,15.73,290.68,6.62
464,leona vicario,29,VE,1579664679,86,5.66,-67.62,297.3,0.98
465,leona vicario,20,HK,1579663956,77,22.29,114.16,297.59,1.5
466,leona vicario,90,US,1579664336,87,37.34,-121.89,286.48,3.6
467,leona vicario,94,LV,1579664679,81,57.39,21.56,279.15,6.7
468,leona vicario,76,RU,1579664679,73,43.13,43.46,257.93,6.22
469,leona vicario,0,SA,1579664679,86,29.97,40.21,276.63,6.71
470,leona vicario,0,SD,1579664385,24,12.35,32.18,286.88,4.95
471,leona vicario,0,IR,1579664680,88,29.45,55.68,276.27,3.66
472,leona vicario,88,RU,1579664680,94,61.13,74.82,254.84,4.92
473,leona vicario,84,CD,1579664680,52,0.05,18.26,295.08,0.81
474,leona vicario,75,US,1579664030,65,21.35,-158.09,299.82,3.6
475,leona vicario,20,RU,1579664524,74,64.75,177.48,243.15,3.0
476,leona vicario,20,PF,1579664374,66,-17.73,-149.15,304.15,5.7
477,leona vicario,47,TH,1579664681,78,6.09,101.88,300.93,3.58
478,leona vicario,92,US,1579664348,96,64.5,-165.41,257.27,2.09
479,leona vicario,100,ZW,1579664681,98,-19.45,29.82,285.49,2.69
480,leona vicario,100,UY,1579664221,88,-34.48,-54.33,293.39,3.52
481,leona vicario,100,VE,1579664344,80,8.01,-62.4,294.44,2.27
482,leona vicario,69,VE,1579664681,60,9.66,-68.58,299.67,1.66
483,leona vicario,100,KE,1579664681,81,-3.39,38.56,294.13,1.1
484,leona vicario,30,IN,1579664681,78,16.73,82.22,298.15,1.5
485,leona vicario,90,CM,1579664682,24,8.67,14.18,292.34,0.46
486,leona vicario,75,EC,1579664682,93,-0.83,-78.67,285.93,3.6
487,leona vicario,40,TW,1579664682,50,22.62,120.31,299.82,3.6
488,leona vicario,73,NZ,1579664222,64,-41.41,175.52,294.82,12.3
489,leona vicario,90,CA,1579664682,72,48.42,-71.95,263.15,8.2
490,leona vicario,75,AU,1579664682,74,-14.47,132.27,302.15,8.2
